Title,English_Title,Episodes,Min_Per_Ep,Season,Start_Date,End_Date,Studios,Source,Genres,Themes,Demographic,Rating,Score,Users,Members,Insert_Time
Sousou no Frieren,Frieren: Beyond Journey's End,28.0,24.0,Fall 2023,2023-09-29,2024-03-31,['Madhouse'],Manga,"['Adventure', 'Drama', 'Fantasy']",,Shounen,PG-13 - Teens 13 or older,9.14,121718.0,415470,2023-12-31 16:58:23.046856
Tate no Yuusha no Nariagari Season 3,The Rising of the Shield Hero Season 3,12.0,23.0,Fall 2023,2023-10-06,2023-12-22,['Kinema Citrus'],Light novel,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Isekai'],,PG-13 - Teens 13 or older,7.15,55344.0,387232,2023-12-31 16:58:29.049794
Spy x Family Season 2,,12.0,23.0,Fall 2023,2023-10-07,2023-12-23,"['Wit Studio', 'CloverWorks']",Manga,"['Action', 'Comedy']",['Childcare'],Shounen,PG-13 - Teens 13 or older,8.1,101707.0,383633,2023-12-31 16:58:34.951906
Goblin Slayer II,,12.0,23.0,Fall 2023,2023-10-06,2023-12-22,['LIDENFILMS'],Light novel,"['Action', 'Adventure', 'Fantasy']",['Gore'],,R - 17+ (violence & profanity),7.28,57723.0,297403,2023-12-31 16:58:41.047125
Kage no Jitsuryokusha ni Naritakute! 2nd Season,The Eminence in Shadow Season 2,12.0,23.0,Fall 2023,2023-10-04,2023-12-20,['Nexus'],Light novel,"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",,R - 17+ (violence & profanity),8.49,110952.0,279461,2023-12-31 16:58:47.062200
Dr. Stone: New World Part 2,,11.0,23.0,Fall 2023,2023-10-12,2023-12-21,['TMS Entertainment'],Manga,"['Adventure', 'Comedy', 'Sci-Fi']",['Time Travel'],Shounen,PG-13 - Teens 13 or older,8.36,72817.0,209889,2023-12-31 16:58:53.064891
Kusuriya no Hitorigoto,The Apothecary Diaries,24.0,22.0,Fall 2023,2023-10-22,2024-03-31,"['OLM', 'TOHO animation STUDIO']",Light novel,"['Drama', 'Mystery']","['Historical', 'Medical']",,PG-13 - Teens 13 or older,8.79,42945.0,201762,2023-12-31 16:58:59.136870
Undead Unluck,,24.0,23.0,Fall 2023,2023-10-07,2024-03-31,['David Production'],Manga,"['Action', 'Comedy', 'Supernatural']",['Super Power'],Shounen,R - 17+ (violence & profanity),7.84,28521.0,182462,2023-12-31 16:59:05.116890
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",Shangri-La Frontier,25.0,25.0,Fall 2023,2023-10-01,2024-03-31,['C2C'],Manga,"['Action', 'Adventure', 'Fantasy']",['Video Game'],Shounen,PG-13 - Teens 13 or older,7.98,35551.0,158465,2023-12-31 16:59:11.149286
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",12.0,23.0,Fall 2023,2023-10-08,2023-12-24,['Bibury Animation Studios'],Manga,"['Comedy', 'Romance']","['Harem', 'Parody', 'School']",Seinen,PG-13 - Teens 13 or older,7.94,56592.0,153211,2023-12-31 16:59:16.976514
Tokyo Revengers: Tenjiku-hen,,13.0,23.0,Fall 2023,2023-10-04,2023-12-27,['LIDENFILMS'],Manga,"['Action', 'Drama', 'Supernatural']","['Delinquents', 'Time Travel']",Shounen,R - 17+ (violence & profanity),7.87,40818.0,147714,2023-12-31 16:59:23.188824
Hametsu no Oukoku,The Kingdoms of Ruin,12.0,24.0,Fall 2023,2023-10-07,2023-12-23,['Yokohama Animation Lab'],Manga,"['Action', 'Drama', 'Fantasy', 'Sci-Fi']",['Gore'],Shounen,R - 17+ (violence & profanity),6.35,40846.0,144520,2023-12-31 16:59:29.279092
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",Our Dating Story: The Experienced You and The Inexperienced Me,12.0,23.0,Fall 2023,2023-10-06,2023-12-22,['ENGI'],Light novel,['Romance'],['School'],,PG-13 - Teens 13 or older,6.75,39496.0,130250,2023-12-31 16:59:35.180970
Boushoku no Berserk,Berserk of Gluttony,12.0,23.0,Fall 2023,2023-10-05,2023-12-21,['A.C.G.T.'],Light novel,"['Action', 'Fantasy']",,,R - 17+ (violence & profanity),6.78,51831.0,126965,2023-12-31 16:59:41.181382
Ragna Crimson,,24.0,24.0,Fall 2023,2023-10-01,2024-03-31,['SILVER LINK.'],Manga,"['Action', 'Fantasy']",,Shounen,R - 17+ (violence & profanity),7.53,21297.0,123210,2023-12-31 16:59:47.156516
Seiken Gakuin no Makentsukai,The Demon Sword Master of Excalibur Academy,12.0,23.0,Fall 2023,2023-10-03,2023-12-19,['Passione'],Light novel,"['Action', 'Fantasy']","['Harem', 'Reincarnation', 'School']",,R - 17+ (violence & profanity),6.23,30206.0,101492,2023-12-31 16:59:53.269557
Kamonohashi Ron no Kindan Suiri,Ron Kamonohashi's Forbidden Deductions,13.0,24.0,Fall 2023,2023-10-02,2023-12-25,['Diomedéa'],Manga,"['Comedy', 'Mystery']","['Adult Cast', 'Detective']",Shounen,PG-13 - Teens 13 or older,7.44,22104.0,97765,2023-12-31 16:59:59.052299
Saihate no Paladin: Tetsusabi no Yama no Ou,The Faraway Paladin: The Lord of the Rust Mountains,12.0,23.0,Fall 2023,2023-10-07,2023-12-23,"['OLM', 'Sunrise Beyond']",Light novel,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",,PG-13 - Teens 13 or older,7.42,19292.0,94619,2023-12-31 17:00:05.155529
Dead Mount Death Play Part 2,,12.0,23.0,Fall 2023,2023-10-10,2023-12-26,['Geek Toys'],Manga,"['Action', 'Fantasy', 'Supernatural']",['Reincarnation'],Seinen,R - 17+ (violence & profanity),7.51,22421.0,82435,2023-12-31 17:00:11.059616
Watashi no Oshi wa Akuyaku Reijou.,I'm in Love with the Villainess,12.0,24.0,Fall 2023,2023-10-03,2023-12-19,['Platinum Vision'],Light novel,"['Comedy', 'Fantasy', 'Girls Love']","['Isekai', 'School']",,PG-13 - Teens 13 or older,7.38,28198.0,78805,2023-12-31 17:00:17.986680
Kikansha no Mahou wa Tokubetsu desu,A Returner's Magic Should Be Special,12.0,23.0,Fall 2023,2023-10-08,2023-12-24,['Arvo Animation'],Web manga,"['Action', 'Fantasy']","['School', 'Time Travel']",,PG-13 - Teens 13 or older,7.1,29003.0,78029,2023-12-31 17:00:23.828195
Kanojo mo Kanojo Season 2,"Girlfriend, Girlfriend Season 2",12.0,24.0,Fall 2023,2023-10-07,2023-12-23,['SynergySP'],Manga,"['Comedy', 'Romance']","['Harem', 'School']",Shounen,PG-13 - Teens 13 or older,7.02,22588.0,77589,2023-12-31 17:00:29.664107
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,12.0,23.0,Fall 2023,2023-10-04,2023-12-20,"['Zero-G', 'Digital Network Animation']",Light novel,"['Comedy', 'Fantasy', 'Romance']",,,PG-13 - Teens 13 or older,7.2,22864.0,76512,2023-12-31 17:00:35.899003
Hikikomari Kyuuketsuki no Monmon,The Vexations of a Shut-In Vampire Princess,12.0,23.0,Fall 2023,2023-10-07,2023-12-30,['Project No.9'],Light novel,"['Comedy', 'Fantasy']",['Vampire'],,PG-13 - Teens 13 or older,7.31,15500.0,75743,2023-12-31 17:00:41.750499
Mahoutsukai no Yome Season 2 Part 2,The Ancient Magus' Bride Season 2 Part 2,12.0,24.0,Fall 2023,2023-10-05,2023-12-21,['Studio Kafka'],Manga,"['Drama', 'Fantasy', 'Romance']","['Mythology', 'School']",Shounen,PG-13 - Teens 13 or older,7.85,18956.0,70887,2023-12-31 17:00:47.720191
Seijo no Maryoku wa Bannou desu Season 2,The Saint's Magic Power is Omnipotent Season 2,12.0,23.0,Fall 2023,2023-10-03,2023-12-19,['Diomedéa'],Light novel,"['Fantasy', 'Romance']","['Isekai', 'Medical']",,PG-13 - Teens 13 or older,7.4,17279.0,64801,2023-12-31 17:00:53.650534
Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,My Daughter Left the Nest and Returned an S-Rank Adventurer,13.0,23.0,Fall 2023,2023-09-28,2023-12-21,['Typhoon Graphics'],Light novel,"['Action', 'Adventure', 'Fantasy']",,,PG-13 - Teens 13 or older,6.79,20840.0,61422,2023-12-31 17:00:59.672905
Ojou to Banken-kun,A Girl & Her Guard Dog,13.0,23.0,Fall 2023,2023-09-29,2023-12-22,['Project No.9'],Manga,['Romance'],['School'],Shoujo,PG-13 - Teens 13 or older,5.67,14564.0,57934,2023-12-31 17:01:05.700324
Toaru Ossan no VRMMO Katsudouki,A Playthrough of a Certain Dude's VRMMO Life,12.0,23.0,Fall 2023,2023-10-03,2023-12-19,['Maho Film'],Light novel,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Video Game'],,PG-13 - Teens 13 or older,6.39,20602.0,53450,2023-12-31 17:01:11.499837
Under Ninja,,12.0,24.0,Fall 2023,2023-10-06,2023-12-22,['Tezuka Productions'],Manga,['Action'],,Seinen,R - 17+ (violence & profanity),6.95,12589.0,52855,2023-12-31 17:01:17.541618
